doc_id,file_name,packet,document_type,evidence_role,text_length,chunk_count,has_text
DOC_BA82764C244F,land_o_lakes_community_impact_report.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,14,1,True
DOC_3C5045700A98,land_o_lakes_hershey_chesapeake_bay_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,14,1,True
DOC_D9B23C06662B,land_o_lakes_home_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,14,1,True
DOC_2F8EE4491545,land_o_lakes_who_we_are_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,14,1,True
DOC_FEA243351909,alliance_sustainable_dairy_pa_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,unknown,14,1,True
DOC_6ECEDE6AFBC2,epa_hershey_land_o_lakes_pa_dairy_farms_2m_commitment.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,14,1,True
DOC_9C88D07C6DBF,usda_ams_advanced_class_prices_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,11906,7,True
DOC_E2BE0206EF0C,usda_ams_class_iv_milk_price_reference.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,1355,1,True
DOC_7FED8B7042EA,usda_ams_dairy_market_news_weekly_report_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,78106,42,True
DOC_9232C3E84540,usda_ams_dairy_monthly_averages_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,3693,3,True
DOC_A5418FB79897,usda_ams_national_dairy_products_sales_report_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,7169,5,True
DOC_B28013FB1CA9,dairy_ingredients_in_chocolate_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,14,1,True
DOC_C041385635A5,milk_fat_butterfat_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,14,1,True
DOC_E3E6C7C84910,milk_processing_separation_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,149382,90,True
DOC_400268FDC92A,nonfat_dry_milk_skim_milk_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,14,1,True
DOC_CD36102F0A4D,land_o_lakes_logo_asset.png,dairy_milk_skim_milk_milk_fat,image_or_logo,visual_asset,0,0,False
DOC_C5E013D8DC8A,fda_21_cfr_101_22_natural_flavor_definition.pdf,natural_flavor,pdf_document,regulatory_definition,158,1,True
DOC_1D4C129E0BD4,fda_flavor_labeling_regulation_reference.pdf,natural_flavor,pdf_document,regulatory_definition,341434,202,True
DOC_F0190DCF0884,natural_flavor_declaration_fda_definition_reference.pdf,natural_flavor,pdf_document,regulatory_definition,12131,7,True
DOC_B690BF25DADF,fema_flavor_ingredient_library_page.pdf,natural_flavor,pdf_document,unknown,10809,7,True
DOC_DAEB12849174,fema_gras_program_page.pdf,natural_flavor,pdf_document,regulatory_definition,14,1,True
DOC_12314C1C49CF,interim_gras_33_apr_2026.pdf,natural_flavor,pdf_document,regulatory_definition,10809,7,True
DOC_1164AEC6C38C,natural_flavor_function_in_food_explanation.pdf,natural_flavor,pdf_document,process_or_function_context,14,1,True
DOC_0DD09547ACD4,natural_flavor_extraction_distillation_fermentation_explanation.pdf,natural_flavor,pdf_document,process_or_function_context,14,1,True
DOC_399D89EF9892,natural_flavor_market_overview_reference.pdf,natural_flavor,pdf_document,benchmark_proxy,14,1,True
DOC_F89879677373,hershey_latest_esg_packaging_section.pdf,packaging_wrapper,pdf_document,direct_company_evidence,363048,205,True
DOC_26064332B82F,hershey_pulp_paper_page.pdf,packaging_wrapper,pdf_document,direct_company_evidence,14,1,True
DOC_1ED749BEB0B8,pulp-and-paper-sourcing-policy.pdf,packaging_wrapper,pdf_document,direct_company_evidence,7253,4,True
DOC_66F839469130,hershey_pulp_and_paper_sourcing_data.pdf,packaging_wrapper,pdf_document,supplier_relationship_context,5207,3,True
DOC_C5BF7969016D,hershey_pulp_paper_supplier_mill_list.pdf,packaging_wrapper,pdf_document,supplier_relationship_context,5207,3,True
DOC_D22719A8CDC8,flexible_packaging_market_overview_reference.pdf,packaging_wrapper,pdf_document,benchmark_proxy,215,1,True
DOC_FE10C8C34BF6,bls_ppi_packaging_materials_benchmark.pdf,packaging_wrapper,pdf_document,benchmark_proxy,14,1,True
DOC_BCA0BB066D42,paperboard_packaging_market_overview_reference.pdf,packaging_wrapper,pdf_document,benchmark_proxy,14,1,True
DOC_8E60E28B0A31,efsa_pgpr_e476_reevaluation.pdf,pgpr,pdf_document,regulatory_definition,2008,1,True
DOC_9F0DF6069C86,fda_pgpr_gras_notice_inventory_page.pdf,pgpr,pdf_document,regulatory_definition,9296,5,True
DOC_101588EC345D,fda_pgpr_gras_response_letter.pdf,pgpr,pdf_document,regulatory_definition,9296,5,True
DOC_A6A693D3495F,pgpr_and_lecithin_chocolate_emulsifier_use.pdf,pgpr,pdf_document,process_or_function_context,14,1,True
DOC_F398FB109346,pgpr_function_in_chocolate_explanation.pdf,pgpr,pdf_document,process_or_function_context,14,1,True
