doc_id,file_name,packet,document_type,ocr_needed,image_count,pages_ocr_attempted,pages_ocr_success,total_visual_ocr_text_length,total_visual_ocr_chunks,visual_ocr_json_path,combined_visual_ocr_text_path
DOC_257C2CABB7C1,Group3-Tables-US-Sugar-Crop-Production-and-Sugar-Production-Deliveries-and-Stocks.csv,sugar,csv_table,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_257C2CABB7C1.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_257C2CABB7C1.visual_ocr.txt
DOC_26064332B82F,hershey_pulp_paper_page.pdf,packaging_wrapper,pdf_document,True,1,1,1,3245,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_26064332B82F.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_26064332B82F.visual_ocr.txt
DOC_260B1720A1EF,hershey_cocoa_sustainability_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,1,1,1,4850,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_260B1720A1EF.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_260B1720A1EF.visual_ocr.txt
DOC_2D8BE31DFAC8,icco_cocoa_butter_powder_faq.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,2,2,2,515,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_2D8BE31DFAC8.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_2D8BE31DFAC8.visual_ocr.txt
DOC_2F8EE4491545,land_o_lakes_who_we_are_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,3311,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_2F8EE4491545.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_2F8EE4491545.visual_ocr.txt
DOC_2FB8D1A92FFF,soy_lecithin_function_in_chocolate_explanation.pdf,soy_lecithin,pdf_document,True,1,1,1,17769,10,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_2FB8D1A92FFF.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_2FB8D1A92FFF.visual_ocr.txt
DOC_32FA1CD834CD,sugar_cane_beet_processing_explanation.pdf,sugar,pdf_document,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_32FA1CD834CD.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_32FA1CD834CD.visual_ocr.txt
DOC_35AC43ECE38F,Hershey back.webp,product_sku_1_55oz,image_or_logo,True,1,1,1,420,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_35AC43ECE38F.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_35AC43ECE38F.visual_ocr.txt
DOC_381414594006,Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,hershey_company,pdf_document,True,1,1,1,3245,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_381414594006.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_381414594006.visual_ocr.txt
DOC_399D89EF9892,natural_flavor_market_overview_reference.pdf,natural_flavor,pdf_document,True,1,1,1,18188,10,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_399D89EF9892.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_399D89EF9892.visual_ocr.txt
DOC_3A67DADA572A,barry_callebaut_annual_report_or_full_year_results_2024_25.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,1,1,1,131,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3A67DADA572A.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3A67DADA572A.visual_ocr.txt
DOC_3C5045700A98,land_o_lakes_hershey_chesapeake_bay_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,7217,4,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3C5045700A98.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3C5045700A98.visual_ocr.txt
DOC_3C7D40BBDFD0,mclane_logo_asset.png,logistics_distribution,image_or_logo,True,1,1,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3C7D40BBDFD0.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3C7D40BBDFD0.visual_ocr.txt
DOC_3DACF0FBC836,hershey_latest_esg_dairy_section.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,66,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3DACF0FBC836.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3DACF0FBC836.visual_ocr.txt
DOC_3FF97ACFA90D,hershey_dairy_sourcing_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,5789,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3FF97ACFA90D.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_3FF97ACFA90D.visual_ocr.txt
DOC_400268FDC92A,nonfat_dry_milk_skim_milk_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,5028,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_400268FDC92A.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_400268FDC92A.visual_ocr.txt
DOC_41FA1AC07EDD,retail_wholesale_distribution_explanation.pdf,logistics_distribution,pdf_document,True,5,5,5,21596,12,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_41FA1AC07EDD.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_41FA1AC07EDD.visual_ocr.txt
DOC_444A249CB5CF,barry_callebaut_social_environmental_impact_report_2024_25.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,1,1,1,145,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_444A249CB5CF.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_444A249CB5CF.visual_ocr.txt
