doc_id,file_name,packet,document_type,evidence_role,ai_input_mode,priority_score,selected_chunk_count,has_page_images,has_tables,needs_visual_review,level1_input_path
DOC_D7D512504DFA,hershey unwrapped.png,product_sku_1_55oz,image_or_logo,direct_company_evidence,visual_asset_only,90,0,False,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_D7D512504DFA.level1_input.json
DOC_35AC43ECE38F,Hershey back.webp,product_sku_1_55oz,image_or_logo,direct_company_evidence,visual_asset_only,90,0,False,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_35AC43ECE38F.level1_input.json
DOC_463FD3B8EDC9,Hershey Front.webp,product_sku_1_55oz,image_or_logo,direct_company_evidence,visual_asset_only,90,0,False,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_463FD3B8EDC9.level1_input.json
DOC_3A67DADA572A,barry_callebaut_annual_report_or_full_year_results_2024_25.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,text_plus_page_images,87,7,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_3A67DADA572A.level1_input.json
DOC_DC5C9E72C77A,land_o_lakes_2025_annual_report.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,text_plus_page_images,87,7,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_DC5C9E72C77A.level1_input.json
DOC_444A249CB5CF,barry_callebaut_social_environmental_impact_report_2024_25.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,text_plus_page_images,86,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_444A249CB5CF.level1_input.json
DOC_C87C22CB90A7,Cocoa-The-Hershey-Company-05-06-2026_02_25_PM.pdf,cocoa_chocolate_cocoa_butter,pdf_document,direct_company_evidence,visual_priority,86,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C87C22CB90A7.level1_input.json
DOC_8F85C09572BC,hershey_cocoa_for_good_strategy.pdf,cocoa_chocolate_cocoa_butter,pdf_document,direct_company_evidence,visual_priority,86,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_8F85C09572BC.level1_input.json
DOC_260B1720A1EF,hershey_cocoa_sustainability_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,direct_company_evidence,visual_priority,86,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_260B1720A1EF.level1_input.json
DOC_3FF97ACFA90D,hershey_dairy_sourcing_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,direct_company_evidence,visual_priority,86,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_3FF97ACFA90D.level1_input.json
DOC_75DA5EE841E9,hershey_sustainable_dairy_pa_2021_press_release.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,direct_company_evidence,visual_priority,86,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_75DA5EE841E9.level1_input.json
DOC_4FB6669959F5,asr_fy23_sustainability_report.pdf,sugar,pdf_document,supplier_relationship_context,text_plus_page_images,86,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_4FB6669959F5.level1_input.json
DOC_74966F03A6A3,hershey_sugar_sourcing_page.pdf,sugar,pdf_document,direct_company_evidence,visual_priority,86,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_74966F03A6A3.level1_input.json
